Date,Rice ‐ (Kekulu white),lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_max_3,rolling_min_3,rolling_mean_6,rolling_std_6,rolling_max_6,rolling_min_6,rolling_mean_12,rolling_std_12,rolling_max_12,rolling_min_12,ewma_3,ewma_6,ewma_12,volatility_3,volatility_6,volatility_12,month,quarter,year,month_sin,month_cos,pct_change_1,pct_change_3,fuel_lag_1,fuel_lag_3,fuel_rolling_mean_3,fuel_pct_change,usd_lag_1,usd_rolling_mean_3,usd_pct_change,local_fuel_lag_1,local_fuel_pct_change
2014-01-01,61.08309027777778,58.02653288289888,54.94193151147098,56.18580252718691,57.765030194478726,58.637713576846686,2.2042781179043915,61.08309027777778,56.80351756986339,56.66513458583095,2.5833931977007003,61.08309027777778,54.24211600487604,56.00524126342614,1.9723005036139305,61.08309027777778,54.24211600487604,59.0048311558477,57.647430613229595,56.91172610397982,0.015682856385622338,0.02823585710794541,0.0247604056490399,1,1,2014,0.49999999999999994,0.8660254037844387,0.05267516846211073,0.11177544358855718,110.76,109.08,108.89,-0.023835319609967542,130.82774,130.87988634920632,-0.00075185743882622,14490.480482400002,-0.024569256286438135
2014-02-01,63.613600398936164,61.08309027777778,56.80351756986339,54.893619268098654,56.61795413279893,60.907741186537606,2.797658187670275,63.613600398936164,58.02653288289888,58.118464774303874,3.6287601431949934,63.613600398936164,54.24211600487604,56.588211785604244,2.9576267844948343,63.613600398936164,54.24211600487604,61.30921577739193,59.35205055200289,57.94278368781925,0.01577115198543644,0.022944784864399596,0.0254895238736085,2,1,2014,0.8660254037844386,0.5000000000000001,0.041427342815348656,0.11988839988116884,108.12,107.79,109.25999999999999,0.007214206437291981,130.7293761904762,130.79250931839405,0.0006963666230386245,14134.460153714286,0.00791559679290521
2014-03-01,63.58541666666666,63.613600398936164,58.02653288289888,54.24211600487604,55.08319607843137,62.760702447793534,1.452923096873854,63.613600398936164,61.08309027777778,59.67568155126897,3.6373462731116986,63.613600398936164,54.94193151147098,57.296730167957186,3.5277464149628543,63.613600398936164,54.24211600487604,62.44731622202929,60.56158372762111,58.81088106918039,0.027991628785614085,0.01947579055439716,0.022996145799404108,3,1,2014,1.0,6.123233995736766e-17,-0.00044304570237740926,0.09579899931271019,108.9,110.76,108.16666666666667,-0.013039485766758507,130.8204117647059,130.72598804855275,-0.0014694616202206578,14246.342841176474,-0.014489786363097501
2014-04-01,66.1369849537037,63.58541666666666,61.08309027777778,54.94193151147098,54.33371867167919,64.44533400643552,1.4650804674951223,66.1369849537037,63.58541666666666,61.54152379164109,3.5945316294583933,66.1369849537037,56.80351756986339,58.280335691459236,4.206659785826517,66.1369849537037,54.24211600487604,64.2921505878665,62.15455550650185,59.93797397449167,0.023807712851818413,0.018691191838291262,0.022728995352677767,4,2,2014,0.8660254037844387,-0.4999999999999998,0.0401281995274656,0.08273803196503549,107.48,108.12,108.04666666666667,0.002605135839225836,130.6281761904762,130.69026265172735,-4.574962807102345e-05,14039.916376952384,0.002559267027159251
2014-05-01,65.2277199074074,66.1369849537037,63.613600398936164,56.80351756986339,54.46508536645111,64.98337384259258,1.2932145724494648,66.1369849537037,63.58541666666666,62.94555751456509,2.9636046582337396,66.1369849537037,58.02653288289888,59.177221903205584,4.459035831068422,66.1369849537037,54.24211600487604,64.75993524763695,63.03260247818915,60.75178104109409,0.028064570230405338,0.026128910507089577,0.024093824643242345,5,2,2014,0.49999999999999994,-0.8660254037844387,-0.01374820831238055,0.025373811548925262,107.76,108.9,108.26,0.016518188567186343,130.6221999999999,130.56844995822885,-0.001280228902815983,14075.84827199999,0.015216812601944518
2014-06-01,66.35276388888889,65.2277199074074,63.58541666666666,58.02653288289888,55.386330869580476,65.90582291666666,0.5970828297578887,66.35276388888889,65.2277199074074,64.3332626822301,1.9886005635940334,66.35276388888889,61.08309027777778,60.09109132148129,4.727181229730139,66.35276388888889,54.24211600487604,65.55634956826292,63.98122002410336,61.6134707099856,0.027039892915555492,0.02625477686213456,0.02409591884842896,6,2,2014,1.2246467991473532e-16,-1.0,0.017247942793010562,0.043521728208992805,109.54,107.48,109.7,0.02063173270038332,130.4549736842105,130.45483456140346,-0.0012850693191377438,14290.037817368418,0.019320150174551687
2014-07-01,66.76761309523809,66.35276388888889,66.1369849537037,61.08309027777778,56.18580252718691,66.11603229717812,0.7967742104051014,66.76761309523809,65.2277199074074,65.28068315180683,1.396385978534854,66.76761309523809,63.58541666666666,60.97290886881888,4.915671621114544,66.76761309523809,54.24211600487604,66.1619813317505,64.77733233014186,62.40641569233213,0.015714556184749935,0.022254128276735393,0.024242004001710175,7,3,2014,-0.4999999999999997,-0.8660254037844388,0.0062521767298779896,0.009535181290405426,111.8,107.76,109.37,-0.04499105545617177,130.28733,130.3275254704944,-0.0003611807282204449,14566.123494,-0.04533598628221924
2014-08-01,70.9966417820882,66.76761309523809,65.2277199074074,63.613600398936164,54.893619268098654,68.03900625540506,2.5697725380906835,70.9966417820882,66.35276388888889,66.51119004899883,2.4721490173203917,70.9966417820882,63.58541666666666,62.31482741165134,5.2890162112618935,70.9966417820882,54.24211600487604,68.57931155691935,66.55427788784081,63.72798893690999,0.030288351718634567,0.0283837926668157,0.024825594321823363,8,3,2014,-0.8660254037844385,-0.5000000000000004,0.06333952182501679,0.08844279522371701,106.77,109.54,106.72666666666665,-0.04832818207361611,130.2402727272727,130.2387009090909,-0.00039751703669277383,13905.753919090905,-0.0487064878345822
2014-09-01,75.57916476013509,70.9966417820882,66.35276388888889,63.58541666666666,54.24211600487604,71.11447321248713,4.406957439127188,75.57916476013509,66.76761309523809,68.5101480645769,4.006260610793361,75.57916476013509,65.2277199074074,64.09291480792292,5.881754961395022,75.57916476013509,54.94193151147098,72.07923815852722,69.1328169942106,65.5512467558677,0.033313026410399516,0.03177153493692293,0.025162134328135854,9,3,2014,-1.0,-1.8369701987210297e-16,0.06454563008926728,0.13905073926831868,101.61,111.8,101.82333333333334,-0.04448381064855822,130.1885000000001,130.22976551226552,0.0005532271246977416,13228.45348500001,-0.043955193174521234
2014-10-01,76.39233256822541,75.57916476013509,66.76761309523809,66.1369849537037,54.94193151147098,74.32271303681624,2.909015806879214,76.39233256822541,70.9966417820882,70.21937266699719,4.883008444752215,76.39233256822541,65.2277199074074,65.88044822931913,6.103183437906108,76.39233256822541,56.80351756986339,74.23578536337632,71.20696430107198,67.21910611161503,0.030711384887172212,0.0320909574204673,0.025288704097090473,10,4,2014,-0.8660254037844386,0.5000000000000001,0.010759153143211853,0.14415251686859776,97.09,106.77,95.37666666666667,-0.09949531362653208,130.2605238095238,130.34950793650796,0.0026022940839074415,12646.994256666665,-0.09715193560865132
