Date,Rice ‐ (Kekulu white),Rice ‐ (Kekulu ‐ red),Rice ‐ (Samba),Rice ‐ (Nadu‐White),Rice ‐ (Nadu‐Red),Rice flour,Wheat flour,Kurakkan flour,Ulundu flour,Green gram,Gram,Maize,Cowpea,Bread (Normal),Biscuits,Buns/ Spunchi,Cake,Noodles/Pastra,Chicken,Beef,Pork,Mutton,Sausages / Meat balls,Kelavalla,Thalapath,Paraw,Balaya,Mullet,Seer,Mora,Salaya/ Sudaya,Hurulla,Kumbalawa/ Angila,Linna,Teppili/ Tilapiya/ Korali,Prawns,Sprats (dry),Katta (dry),Keerameen (dry),Balaya (dry),Hurulla (dry),Mora/Keelan (dry),Anguluwa (dry),Salaya (dry),Canned fish (Salmon),Maldives fish,Milk packets (liquid) & sterilized milk,Cow milk,Condensed milk,Milk powder,Infant milk powder,Yoghurt/ Moru,Cheese,Curd,Hen,Coconut (Nuts),Butter,Margarine,Coconut oil,Vegetable oil,Gingerly oil,Cadju nuts & Groundnuts,Banana ‐ Ambul,Banana ‐ Kolikuttu,Banana ‐ Seeni,Banana ‐ Anamalu,Papaw,Apple,Mangoes,Oranges,Pineapple,Water Melon,Dates,Brinjal,Sweet pumpkin,Long beans,Bandakka,Bitter gourd,Snake gourd,Polos,Ridge gourd,Ash plantain,Elabattu/Tibbatu,dambala,Cucumber/Kekiri,Plantain flower,Beans,Carrot,Cabbage,Beetroot,Leeks,Capsicum,Tomatoes,Radish,knol khol,Mukunuwenna,Gotukola,Sarana & Thampala,Katurumurunga,Kankun,cabbage leave,Potatoes,Jak and jak seeds,Mannioc,Bread fruit,Sweet Potatoes,Dhal ‐ Misoor,Red onions,Bombay onions,Garlic,Green chilies,Mushrooms,Soya meat,Papadam,Sugar,Jam,Ice‐cream,Chocolates,Juggery ,Treacle,Chilly powder ,Pepper,Dried chilies,Curry powder (Sarakku), Salt,Turmeric/Turmeric powder,Limes,Curry leaves ,Goraka ,Cinnamon ,Tamarind,Cumin & Panel seeds ,Mathe seeds ,Mustard,Ginger ,Coriander,Marmite/ Vegemite ,Soup cubes/ powder ,Sauce,Cereal flour like Triposha, Coffee powder/ seeds,Tea dust/ leaves ,Soft drinks,Fruit drinks/ Cordials,  Bottled water,Brent_USD,USD_LKR
2013-01-01,57.765030194478726,57.942358405985914,71.12788340007572,60.81049331355349,62.222272830866586,48.125393518518514,99.68368879431378,118.21558823529412,111.34343750000001,258.72526862119054,185.33736842105262,151.20825,254.0476903316486,58.822159090909096,381.6131180223285,22.28333333333333,200.0,210.1052579269557,412.42499879083675,449.0215015609199,402.77777777777777,1013.3340486596737,236.5,718.5288214285714,749.9192982456141,700.1495230789425,531.865119047619,585.282738095238,1062.2030669224212,586.4260935143288,188.74274879450087,317.5738927962489,436.7898351648351,322.7652556420086,287.2757936507937,794.6332858391609,478.0,922.9,593.7294117647058,611.3409090909091,450.0,885.936842105263,780.1999999999999,406.50714285714287,235.84075757575755,183.590238095238,30.0,65.59535714285714,185.4240909090909,313.86779980253664,409.53308823529414,30.0,296.0,185.1518181818182,13.619983580426517,39.17572487787239,283.8101604278075,165.5681818181818,190.17025459260682,450.0,525.0271577380952,1145.0,69.1599398395722,120.32316193610312,65.87095238095237,85.36131299734747,62.99131334351922,41.37236842105263,34.71916044372294,42.153451387322356,106.80849016732792,69.3228125,290.0,154.81727272727272,80.36545454545454,131.56380952380954,116.43818181818182,149.35545454545456,105.82818181818183,60.0,127.82000000000001,108.32181818181816,140.0,142.02,84.1255238095238,100.0,182.12454545454545,188.05090909090913,116.31999999999998,158.5495238095238,153.82363636363635,253.46190476190475,134.0490909090909,87.63714285714285,133.95200000000003,19.22794939187796,17.239242424242427,23.610518118245388,20.373761904761903,19.345777417027417,94.0325,110.66240578825531,87.72416666666668,51.96040241518916,63.62018518518519,84.81702111613876,145.97793124198333,173.54420809010966,100.359450204385,238.79999999999995,33.20977272727273,261.94333333333327,53.43642857142857,433.68197368421056,103.61414148422242,244.0681818181818,230.0,40.0,299.09050836894585,321.95375,374.594215698095,1383.1619047619047,222.32593083108043,436.14775224775224,34.1393731737013,683.5022727272726,211.02500000000006,120.08684210526314,352.7142857142857,1672.3690476190473,233.0886363636364,517.5147727272727,243.4181818181818,288.6431818181818,361.33181818181816,262.19090909090903,230.0,216.0,260.0,54.393636363636354,114.98605263157893,78.10625000000002,40.0,427.0531674208145,40.0,112.96,126.8535809523809
2013-02-01,56.61795413279893,57.20795960238853,71.33927644727513,60.17367647058823,60.83979285334549,48.27357668566002,98.93938841238975,133.62972222222223,111.46088235294118,272.7346876247275,177.34264990220152,146.4831818181818,249.1258038962614,58.96728609625668,385.76819178628386,22.3489979338843,200.0,210.91210060407428,417.2585129978584,454.7111928104575,498.3854166666667,1015.8483962912087,236.5,708.1339602693421,725.989786014911,693.5243022281377,514.1033076923077,617.9436096028155,1031.1487794612794,557.3925035612535,182.38811082766438,330.01459450830146,422.2008219954649,322.7652556420086,295.0185185185185,761.233143939394,680.4,927.3,709.1433333333333,656.885,450.0,885.1924999999999,773.1999999999999,529.4625,237.11684523809524,183.66047619047617,30.0,65.59535714285714,189.06045454545455,313.29612554112555,413.45238095238096,30.0,296.0,184.8217857142857,16.379805373538307,39.37219602815136,293.74750735294117,165.0,189.58405934343435,450.0,537.4484642857143,1145.0,68.00247899159662,119.3423183349586,65.9975,90.93225605413106,90.77175248993433,41.44295454545455,61.012440614940616,41.23336444805195,97.91467938311689,128.66666666666666,285.0,116.07388821868325,83.9490909090909,111.1751907101907,125.82744286017014,142.30627149877148,115.8194030620542,71.945,134.16702676626204,109.5939448222451,145.04,124.1494736842105,81.24965047275714,95.0,155.75,175.2327272727273,111.66636363636363,139.07545454545453,142.19626803148543,221.27842405729436,146.86545454545455,87.56190476190476,137.62823529411767,21.382855311355314,19.592354153782725,24.034542124542124,20.68,20.627597402597406,94.0325,100.61018995397305,85.71928571428573,52.89525691699605,62.17319444444445,92.18222934472935,146.8332843623168,148.22200187122053,97.07870405855836,246.37954545454545,38.72772727272727,264.4433333333334,54.62285714285714,442.0463763575606,101.07761396327305,245.0,230.0,40.0,301.42119467338216,321.95375,375.1307210031348,1393.5931818181816,237.5765282328345,432.9417540792541,34.1965,651.184090909091,146.60227272727275,124.91315789473683,336.75238095238086,1616.9818181818182,204.86590909090916,528.396590909091,239.19545454545457,289.1409090909092,365.0159090909091,260.8772727272727,230.0,216.0,260.0,54.840681818181814,115.0,79.6277380952381,40.0,427.0531674208145,40.0,116.05,126.7025888888889
2013-03-01,55.08319607843137,55.41679653864286,70.00239241139246,58.878624061166576,60.600225225225216,48.93523148148148,99.30564123376625,134.0,113.0,276.7357617353101,162.10066666666668,150.19,248.52762882775653,59.07379010695186,388.1479266347688,22.302764003673094,200.0,212.0639338235294,416.07912902661064,464.67270752111756,397.5694444444445,1031.1558753746253,236.5,691.2591076315583,718.0412927405132,667.8338529014845,504.02016214177974,595.5138980833981,987.913043797766,548.7366335978836,179.05010074663522,321.4451101653759,417.14559606481475,322.7652556420086,292.0092592592593,769.5071488957901,673.8,896.8,690.4650198326668,632.4583359169566,450.0,844.9027777777776,793.9414983164984,502.7868827509045,237.23595238095237,184.4432125271157,30.0,67.4165,189.06045454545455,312.17581746031743,408.5357142857143,30.0,296.0,188.97727272727272,15.347278971134967,42.01561773100405,293.0952380952381,165.0,195.23787097162096,450.0,543.28828125,1145.0,65.20808594316371,120.68753190164955,64.99357142857143,88.335625,104.15455620528896,42.083409090909086,66.93547453703704,43.46447948916409,101.79170006613757,107.3959375,290.0,103.36,91.17636363636363,110.53,114.2118181818182,133.87727272727273,103.03818181818183,56.945,119.39199999999998,102.13272727272728,106.09333333333332,110.02631578947368,72.12428571428572,80.0,143.53772727272727,156.8318181818182,101.31681818181819,140.37272727272727,131.62045454545455,195.76380952380953,123.09818181818181,86.59545454545456,121.02882352941175,22.205778508771928,19.504331065759636,23.955455259026685,21.26109523809524,21.333928571428572,94.0325,87.39594616289816,90.42851190476192,56.89361033852511,56.92857142857143,89.91930249428616,150.10322304440746,130.06915128106658,74.74112764550264,247.4971939059715,38.09136363636363,262.77666666666664,55.08763157894737,440.78516917293234,103.22858319835615,249.33333333333334,230.0,40.0,299.41045833333334,321.95375,375.6739057239057,1329.469641228337,236.7067905405406,433.30585016835016,34.075079004329005,664.0052646427647,125.79090909090911,129.76666666666665,326.46426639044364,1626.7048473456364,195.88968932302265,527.1647279026246,248.9614398497002,286.1385324832918,379.0212334382789,269.61625344352615,230.0,216.0,260.0,54.47595238095238,114.97058823529412,79.63077976190476,40.0,441.39204545454544,40.0,108.47,126.8149842105263
2013-04-01,54.33371867167919,54.81692708333333,68.60706552706554,57.714999999999996,60.32106481481482,49.16881578947368,98.97443181818181,137.05882352941177,115.14433333333334,288.2886458333333,173.22166666666666,157.93979166666668,241.5741477272727,58.910317460317465,388.359100877193,22.81962121212121,200.0,218.2615107212476,422.2085401002506,463.4483333333333,359.065,1068.1153125,216.0,686.1386111111111,703.5664285714286,660.1709649122806,525.0269404761905,585.5573039215685,988.4208333333333,546.8736842105263,184.02224999999999,342.35267543859646,397.801011904762,322.7652556420086,282.3947811447811,761.230875,610.8,921.9,693.815625,634.4952380952382,491.7676470588236,849.8174999999999,760.1700000000001,425.05,232.1120238095238,183.9025,30.0,65.15136363636363,190.0756818181818,313.65763347763345,406.8452380952381,29.666666666666668,296.0,184.52392857142857,14.492112193362193,42.31102918069585,299.82142857142856,165.4165909090909,195.0945238095238,450.0,531.0953571428571,1145.0,65.2446212121212,128.76,65.11603174603175,93.67924999999998,72.77809523809523,40.49547619047619,58.64958333333333,40.045909090909085,100.496,61.29394736842105,294.2727272727273,78.83772233845183,76.44181818181818,83.56636363636362,81.23636363636363,105.44871710871712,78.66741947719925,46.7965625,89.83047619047619,89.0918181818182,104.52,90.08736842105263,61.16704761904762,110.99866666666665,98.0170616883117,140.14504038577687,96.14643748423177,119.08,120.44168774545959,167.22113055272524,88.60722023599304,73.72569255688326,100.36414214321411,20.489202264239026,18.86409090909091,22.899285714285718,21.004473684210527,19.516060606060606,94.0325,83.21509189640767,83.795,50.39212121212122,59.5975,77.78975,157.90622123015874,137.02465544871797,79.56087301587301,248.56590909090912,28.549090909090907,260.5453125,55.841499999999996,439.18167481203,101.5648106060606,250.14575,230.0,40.0,311.19057692307695,321.95375,369.5920454545455,1282.4865079365077,229.62344696969697,430.95757575757574,33.984075,657.3159090909089,112.95909090909092,120.1736842105263,325.21507936507936,1576.4136363636362,245.43484848484852,521.944696969697,241.5734848484848,287.8015151515151,408.8159090909091,272.30606060606056,230.0,216.0,260.0,54.461818181818174,114.2697619047619,80.02444642857142,40.0,429.44444444444446,40.0,102.25,126.02996
2013-05-01,54.46508536645111,54.097182677469135,69.31889583333333,58.9496718648473,60.62053497942387,49.166666666666664,97.97712998035917,135.3245614035088,114.55882352941177,287.6565030864198,174.2682407407407,138.90617424242424,236.69745075757575,59.0740867003367,467.1869066605909,22.829166666666666,200.0,213.1119891640867,428.26313095238095,459.33861111111116,410.4866666666667,1088.5162222222223,216.99820512820514,761.043716931217,769.1145590828925,744.9747807017544,612.7623055555555,658.432,1081.0896210562414,608.6206286549707,218.7686208576998,360.91125595238094,509.66816111111115,322.7652556420086,292.7182539682539,789.6428265107213,615.4,902.8,673.4916666666666,635.6690476190478,497.05490196078426,829.6037037037038,715.0685185185187,399.064705882353,234.05912337662338,182.55198412698414,30.0,62.348636363636366,194.6212121212121,328.43497474747477,414.0238095238095,38.611111111111114,296.0,178.38235294117646,13.011968619729037,43.04565692746175,298.3928571428571,165.0,192.9728745791246,450.0,512.4925,1145.0,62.272460317460315,124.65523809523809,61.50198412698412,94.18254385964913,61.505303030303025,41.053333333333335,50.80303571428571,41.0034126984127,95.8945238095238,53.178916666666666,414.6677777777778,75.96030303030302,69.01575757575758,85.81545454545454,83.4651515151515,104.85866666666666,78.36606060606061,41.0,95.44253968253967,81.73939393939393,96.05116666666666,108.19611111111111,63.228739495798315,107.42592592592592,116.69166666666669,143.68621212121215,100.98378787878788,133.8945714285714,138.35090909090908,142.61904761904762,105.24833333333335,82.45809523809524,104.52233333333334,20.778888888888886,18.83022727272727,24.661794871794868,21.070526315789476,20.34363636363636,94.56070175438596,82.4270235339506,78.63833333333334,52.332045454545465,65.59966666666666,77.4046212121212,156.68776895943563,170.94570545795085,70.20787878787877,241.1704545454546,23.45371212121212,275.5729166666667,58.54761904761905,442.01149853801167,98.07027777777779,257.78409090909093,230.0,40.0,302.65195707070706,400.2915,369.5570707070708,1261.8325396825396,223.65904461279462,429.0062289562289,33.990916666666664,657.1174242424241,140.81666666666666,127.80789473684209,319.52142857142854,1602.9340909090909,203.79298245614035,526.064393939394,242.16060606060606,285.8833333333333,497.7603174603174,267.7469696969697,230.0,216.0,260.0,54.969696969696976,114.5,81.00916666666666,40.0,413.5576923076923,40.0,102.56,126.3067619047619
2013-06-01,55.386330869580476,54.278376330003255,70.02813517525811,59.739230861790965,61.66024401344646,49.375,97.95873134638568,134.94736842105263,114.71354166666667,276.7575615600064,163.6988888888889,140.9175974025974,231.51727813852813,58.82331457579914,389.59662413609783,23.006666666666664,200.0,216.69092105263158,430.6465714285714,464.5697368421053,421.67,1085.8889583333334,211.04935897435897,777.2256736052141,807.0525157178784,767.4485286584023,628.2770659597477,681.7217443987199,1145.1295481109967,628.8564067576348,258.9922046944064,399.68479738225886,482.41690123456794,322.7652556420086,308.11567824074075,806.4567402221037,598.9,923.4,698.6171052631578,683.9395833333334,485.83333333333337,839.1208333333333,698.5300925925925,398.5038461538462,236.70759259259262,178.5561616161616,30.0,67.520875,184.5075,317.94944444444445,403.63988095238096,30.0,296.0,183.17697916666665,15.732066392953312,41.11549046226677,296.1085144724557,166.6460984848485,193.86549623463716,450.0,521.0682222222223,1145.0,57.7885606060606,116.94,59.96954545454546,93.63407407407408,56.69479166666667,41.52323863636363,49.213518518518526,41.078472222222224,94.61284090909089,50.77548412698413,391.53666666666663,87.90075757575757,78.68075757575757,104.09303030303028,97.44863636363635,118.30522727272724,86.87166666666666,44.3178125,103.58047619047619,87.62571428571428,111.12483333333333,124.15215686274509,68.66042780748663,117.122,137.94325757575754,169.27613636363637,116.24371212121213,148.1168181818182,147.64560606060607,199.89761904761906,115.16027777777776,89.67984126984128,115.16633333333331,20.79047619047619,19.513560606060604,25.79504273504273,21.611842105263154,21.1330303030303,106.18509803921567,109.03080141855553,77.16284615384615,51.56916666666666,65.94560606060605,78.86833333333335,155.96922222993373,202.96075279951947,78.9007859060426,229.95606060606062,24.653560606060605,274.7058823529412,56.895916666666665,442.6594702032859,97.73325284740409,252.08333333333334,230.0,40.0,302.70290343915343,388.5590277777777,370.35667789001127,1294.4858585858585,225.01743106649482,425.65269360269355,34.033458333333336,657.9810606060606,165.65151515151516,124.38596491228068,322.3309523809524,1570.683712121212,229.8439393939394,517.5477272727273,236.07045454545457,282.56363636363636,492.09841269841274,267.3590909090909,230.0,216.0,260.0,54.96962121212121,114.65299999999999,81.1250992063492,40.0,449.8872549019608,40.0,102.92,127.8065
2013-07-01,56.18580252718691,55.37648445738835,69.06751679480563,59.615133240297716,62.12916569679728,49.78240740740741,97.74709707367796,139.69444444444446,123.88020833333333,269.6694977923646,168.91176470588235,147.21185064935065,229.97966786399905,59.04613636363636,480.122773790537,22.48407196969697,200.0,216.7720837476916,425.7732108134921,470.86631625856086,411.9791666666667,1095.9332852564103,214.33455882352942,745.2675412918541,779.3195071985112,756.7741077912647,560.2531727135298,679.0358669108668,1197.581400462963,630.5997015022016,232.86705226608188,368.6960981783414,483.88122002997,322.7652556420086,301.36597222222224,866.3516029657478,634.4,983.7,740.3726364522417,749.671106120511,466.2841666666667,897.6561403508771,736.5182355967079,419.41784391534395,236.74982954545453,177.6679677206851,30.0,67.03125,184.4318181818182,317.6672426014531,405.26785714285717,30.0,296.0,193.11264705882354,15.342462222694767,41.10951817388865,297.4285066833751,171.62878787878788,195.996891942484,450.0,553.7725071428572,1145.0,61.46495196324144,114.03696992811409,61.782878787878786,95.43451832907076,66.97065026697179,42.449887878787884,53.66685840245189,41.45189168064886,90.6847999252633,49.476349206349205,359.9039215686275,73.51056092843326,78.32240800865802,102.10792225662195,91.54702650081676,122.03365512491686,86.59296831955922,45.22666666666667,108.89787096118675,88.63042808743718,102.70920963984794,126.48185185185184,63.006355144880814,117.58031746031745,138.17970887522156,183.6484984331688,125.89824351728002,137.0811436579019,151.3328390491766,201.73337630656067,142.92222865553632,82.94043226250122,109.2252301407426,20.72642857142857,19.959470529470533,24.97606227106227,22.251468253968252,20.993896103896105,104.0337037037037,119.10379485794051,75.57076923076923,50.90280966345483,62.63657738095238,75.76086591199494,155.7236272033083,187.18838114936986,109.13442196201066,212.77982967380498,21.81676340287058,275.6122549019608,56.44444444444445,438.2261909983291,96.9208074515112,268.6363636363636,230.0,40.0,322.5386102092352,394.3178977272727,367.91738215488226,1256.8192400192397,223.16015528216678,422.4430093780015,34.174588235294124,664.5697594072594,170.48858486177565,130.7017543859649,328.03016551349884,1663.8796517809674,204.3222849614154,527.7001902988102,238.3402647526068,282.51598246735347,516.0505038809637,267.57031011268145,230.0,216.0,260.0,54.969696969696976,114.56666666666665,83.15730158730159,40.0,447.1079411764706,40.0,107.93,131.0099
2013-08-01,54.893619268098654,55.35132908624548,68.60728731878586,58.54990731785944,61.28228908965964,49.927083333333336,97.2303611473915,137.32833333333332,113.19444444444444,272.0181140286395,177.19598039215686,157.10666666666668,230.7119818240647,59.02272727272727,475.9698963317384,22.730757575757572,200.0,218.52420614035088,421.5501706057423,471.969470244238,480.15625,1126.0827946127947,216.04595588235293,710.0055616605616,765.6165208733065,728.4316397932171,531.0419708994709,669.9492176870748,1097.2235911680912,619.0202136752137,204.5356280193237,335.97293378462496,444.20268518518515,322.7652556420086,303.5869985569986,779.8220228174603,626.3,952.1,661.0181893427794,712.9106736972383,499.56505847953224,876.9630614999037,698.9584563428161,399.0330280830281,235.31613636363636,177.06070918060578,30.0,71.60714285714286,184.72222222222223,319.45266389384034,402.48363095238096,30.0,296.0,190.63822222222223,13.721050171770955,41.63259769850701,300.0,175.0,195.41958610139858,450.0,537.9435763888889,1145.0,64.89366026975054,117.43333333333332,64.85303030303031,91.5200267094017,70.01931818181818,41.586818181818174,58.87223589065255,41.80837454212455,95.43345215637459,49.94734126984126,355.7278431372549,80.11785702601492,72.46636337550264,102.5014728742338,84.83070152070151,113.28863271405743,85.77560841658345,46.596805555555555,102.94122405372404,93.0469161176556,94.90149281267286,113.81456140350879,64.02924802291471,106.68021164021164,141.71794888913615,156.60335694608423,112.71258775644645,103.85622064803883,132.61910320733244,137.7672051685688,93.40013921684375,73.26792284435142,94.61131971537236,20.520878248735393,19.681943208306844,24.565357142857142,21.76780477855478,19.802167302394576,100.75555555555555,120.7348888299201,79.62595238095238,52.968774760592936,57.080773809523805,70.13984642516344,156.35612043471497,172.3962293477889,127.57639498662417,192.56985766758493,17.32895873653459,283.85520833333334,54.77272727272727,440.4133212081129,100.73570862849273,269.7892156862745,230.0,40.0,319.7681386784512,339.6177083333333,365.0786778036779,1227.100541125541,218.50305188262425,421.9856060606061,34.411613992088064,662.1135498273657,240.5181818181818,133.81578947368422,333.46346469622324,1673.4842171717173,194.12620860408214,535.8844398162694,235.8133911895742,285.67981756660413,490.55910890636505,270.4416500044432,230.0,216.0,260.0,54.969696969696976,116.54166666666666,82.98662878787879,40.0,447.6470588235294,40.0,111.28,131.82826
2013-09-01,54.24211600487604,54.654049590284444,68.55055975384212,58.087317887490904,60.75329145261493,50.666666666666664,98.15184856630826,140.31872549019607,123.611,273.8010194143447,165.95541666666665,149.10763888888889,230.17361541005295,59.023809523809526,499.5305909976963,22.112525252525252,200.0,213.53107212475635,418.4085555555555,471.8789473684211,486.4490740740741,1112.8952469135802,211.23641544117646,707.0718691643324,756.474110470275,722.7915853889132,509.3860932400933,666.3191666666667,1064.5800100665265,582.4052314814815,193.63310501998,311.56121988370245,381.61088888888884,322.7652556420086,292.8025317460318,772.775204243247,641.6,953.3,642.8088888888888,690.681216931217,478.5043981481482,884.379475308642,714.1442810457517,403.1504273504274,235.00899531024527,173.1412121212121,30.0,70.89285714285714,187.75,319.2972222222222,410.6118640350877,38.611111111111114,296.0,182.41059523809525,14.199377005044965,43.32597698507,300.0,175.0,199.99130440348185,450.0,532.7166666666667,1145.0,67.74769841269843,115.7178947368421,66.2555357142857,87.8555902777778,69.38219576719578,42.78488095238095,65.01597222222222,42.70108333333333,98.0613492063492,55.219205043859645,381.27622549019605,74.7910606060606,74.93343434343433,94.23984848484848,80.74979797979799,104.80257575757577,82.0681313131313,45.74970833333333,100.24077777777778,85.19222222222223,90.84438596491226,109.70132352941177,65.2254329004329,109.49263157894735,126.19348484848484,125.28419191919191,98.46888888888888,90.12353535353535,108.81070707070704,110.7059126984127,98.90924242424244,74.3337037037037,84.3116111111111,20.715502645502646,21.218661616161615,25.64726851851852,21.8503216374269,19.524621212121215,92.39523809523811,116.86108738446765,89.26583333333333,51.31353535353535,52.37166666666666,65.55976190476191,154.63023333333334,173.12202546296297,114.31710000000001,197.37525252525256,16.315101010101014,287.94605654761904,55.0,440.5755777310924,101.32440000000001,270.2207602339181,230.0,40.0,326.92262645687646,449.54875000000004,372.62,1234.354419191919,214.91053333333326,428.35266666666666,34.95605263157895,669.7443181818181,439.62095959595956,137.4990740740741,337.4398148148148,1660.2986111111113,195.035582010582,530.587941919192,235.75833333333333,291.08901515151524,518.2156565656566,272.88888888888886,230.0,216.0,260.0,54.969696969696976,117.48333333333335,82.12299342105263,40.0,447.21354166666663,40.0,111.6,132.468965
2013-10-01,54.94193151147098,55.458173611111114,68.94746933621934,59.213725490196076,62.74894736842106,50.666666666666664,97.64571022727273,136.90656862745098,113.48019607843136,274.2582840909091,159.8273333333333,156.66641666666666,231.31021969696968,59.12106060606061,400.8393616617301,22.180916666666665,200.0,212.5391033138402,413.46808333333337,469.7161111111111,474.1666666666667,1130.8573148148148,215.75,729.72125,762.2557936507936,723.243425925926,509.3576666666666,650.2475,1058.8432352941177,592.6000877192982,186.58214285714286,313.3575555555555,380.0181296296296,322.7652556420086,296.23907783189037,794.3079027777778,608.8,910.9,588.0358333333334,670.8181818181818,466.2735294117647,887.7425,761.8666666666667,365.7358974358974,238.65468253968254,173.5594696969697,30.0,68.03571428571429,185.0,320.7090935672515,417.934,30.0,296.0,192.99966666666666,14.432609126984127,45.82439501531607,300.0,174.54545454545453,203.15102272727273,450.0,552.0830769230769,1145.0,66.78621212121212,119.67841269841271,65.89920634920634,87.17074074074074,67.18666666666667,42.82891666666667,44.13263020833333,39.91070175438597,98.74045454545454,58.33350877192982,317.5333333333334,75.4678787878788,71.72666666666667,100.85682539682537,83.78650793650795,112.48469696969696,78.6830303030303,44.930277777777775,100.48633333333333,86.2410606060606,93.24122807017545,101.35411764705883,63.69545454545454,121.63925925925926,125.995,118.47075757575757,87.96348484848484,84.555,109.36666666666666,113.65439393939393,109.78151515151514,72.86924242424243,89.40385964912281,20.96761904761905,19.17916666666667,24.235384615384614,21.52111111111111,20.559166666666666,106.01254901960786,110.45447420634922,86.90791666666667,50.55340909090909,60.19833333333334,64.13303030303031,155.66907986111113,186.07769999999996,102.84023333333333,205.1310606060606,16.174393939393937,287.6377777777777,55.0,440.04303571428574,100.61130000000001,274.76190476190476,230.0,40.0,303.4762683150183,437.868717948718,372.05066666666676,1224.9272727272728,213.15509999999995,428.53433333333334,34.66342105263158,658.3333333333333,507.6564393939395,130.74736842105264,333.70952380952383,1659.187878787879,200.4111111111111,520.3563492063493,243.25,296.54090909090905,517.2166666666667,298.84621212121215,230.0,216.0,260.0,54.96962121212121,117.92982456140352,81.58160317460317,40.0,448.6842105263158,40.0,109.08,131.0965523809524
